get headers list|public java.util.List<com.google.privacy.dlp.v2.FieldId> () { return headers_; }
between|public String (Date date, DateUnit unit, BetweenFormater.Level formatLevel) { return new DateBetween(this, date).toString(formatLevel); }
get property diff|public static String (Props oldProps, Props newProps) { final StringBuilder builder = new StringBuilder(""); // oldProps can not be null during the below comparison process. if (oldProps == null) { oldProps = new Props(); } if (newProps == null) { newProps = new Props(); } final MapDifference<String, String> md = Maps.difference(toStringMap(oldProps, false), toStringMap(newProps, false)); final Map<String, String> newlyCreatedProperty = md.entriesOnlyOnRight(); if (newlyCreatedProperty != null && newlyCreatedProperty.size() > 0) { builder.append("Newly created Properties: "); newlyCreatedProperty.forEach(( k, v) -> { builder.append("[ " + k + ", " + v + "], "); }); builder.append("\n"); } final Map<String, String> deletedProperty = md.entriesOnlyOnLeft(); if (deletedProperty != null && deletedProperty.size() > 0) { builder.append("Deleted Properties: "); deletedProperty.forEach(( k, v) -> { builder.append("[ " + k + ", " + v + "], "); }); builder.append("\n"); } final Map<String, MapDifference.ValueDifference<String>> diffProperties = md.entriesDiffering(); if (diffProperties != null && diffProperties.size() > 0) { builder.append("Modified Properties: "); diffProperties.forEach(( k, v) -> { builder.append("[ " + k + ", " + v.leftValue() + "-->" + v.rightValue() + "], "); }); } return builder.toString(); }
min|public SDVariable (SDVariable first, SDVariable second) { return min(null, first, second); }
load file|@Nonnull public static String (@Nonnull File logfile, @Nonnull Charset charset) throws IOException { // See: https://issues.jenkins-ci.org/browse/JENKINS-49060?focusedCommentId=325989&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-325989 try { return FileUtils.readFileToString(logfile, charset); } catch (FileNotFoundException e) { return ""; } catch (Exception e) { throw new IOException("Failed to fully read " + logfile, e); } }
viterbi compute|public static List<NS> (List<EnumItem<NS>> roleTagList) { return Viterbi.computeEnum(roleTagList, PlaceDictionary.transformMatrixDictionary); }
ping|public boolean (final String anode, final long timeout) { if (anode.equals(node)) { return true; } else if (anode.indexOf('@', 0) < 0 && anode.equals(node.substring(0, node.indexOf('@', 0)))) { return true; } // other node OtpMbox mbox = null; try { mbox = createMbox(); mbox.send("net_kernel", anode, getPingTuple(mbox)); final OtpErlangObject reply = mbox.receive(timeout); final OtpErlangTuple t = (OtpErlangTuple) reply; final OtpErlangAtom a = (OtpErlangAtom) t.elementAt(1); return "yes".equals(a.atomValue()); } catch (final Exception e) { } finally { closeMbox(mbox); } return false; }
delete instance|public final void (InstanceName name) { DeleteInstanceRequest request = DeleteInstanceRequest.newBuilder().setName(name == null ? null : name.toString()).build(); deleteInstance(request); }
with sparse parcelable array|public Postcard (@Nullable String key, @Nullable SparseArray<? extends Parcelable> value) { mBundle.putSparseParcelableArray(key, value); return this; }
stat file|private static void (String fname) { try { Path path = Paths.get(new URI(fname)); long size = Files.size(path); System.out.println(fname + ": " + size + " bytes."); } catch (Exception ex) { System.out.println(fname + ": " + ex.toString()); } }
filter out|public static <T> Collection<T> (Collection<T> collection, Collection<T> toExclude) { return collection.stream().filter( o -> !toExclude.contains(o)).collect(Collectors.toList()); }
split ignore case|public static List<String> (String str, String separator, int limit, boolean isTrim, boolean ignoreEmpty) { return split(str, separator, limit, isTrim, ignoreEmpty, true); }
set input local strategy|public void (int inputNum, LocalStrategy strategy) { this.config.setInteger(INPUT_LOCAL_STRATEGY_PREFIX + inputNum, strategy.ordinal()); }
store initial hash table|void () throws IOException { if (spilled) { // we create the initialHashTable only once. Later calls are caused by deeper recursion lvls return; } spilled = true; for (int partIdx = 0; partIdx < initialPartitions.size(); partIdx++) { final ReOpenableHashPartition<BT, PT> p = (ReOpenableHashPartition<BT, PT>) initialPartitions.get(partIdx); if (p.isInMemory()) { // write memory resident partitions to disk this.writeBehindBuffersAvailable += p.spillInMemoryPartition(spilledInMemoryPartitions.next(), ioManager, writeBehindBuffers); } } }
load from meta data|public DataSet (List<RecordMetaData> list) throws IOException { if (underlying == null) { SequenceRecord r = recordReader.loadSequenceFromMetaData(list.get(0)); initializeUnderlying(r); } //Two cases: single vs. multiple reader... List<RecordMetaData> l = new ArrayList<>(list.size()); if (singleSequenceReaderMode) { for (RecordMetaData m : list) { l.add(new RecordMetaDataComposableMap(Collections.singletonMap(READER_KEY, m))); } } else { for (RecordMetaData m : list) { RecordMetaDataComposable rmdc = (RecordMetaDataComposable) m; Map<String, RecordMetaData> map = new HashMap<>(2); map.put(READER_KEY, rmdc.getMeta()[0]); map.put(READER_KEY_LABEL, rmdc.getMeta()[1]); l.add(new RecordMetaDataComposableMap(map)); } } return mdsToDataSet(underlying.loadFromMetaData(l)); }
configure|@Override public FsStateBackend (Configuration config, ClassLoader classLoader) { return new FsStateBackend(this, config, classLoader); }
append strings|public CacheKeyBuilder (Collection<String> input) { appendItem(STRING_LIST_KEY, stringCollectionToByteArray(input, true)); return this; }
parse time unit|static TimeUnit (String key, @Nullable String value) { requireArgument((value != null) && !value.isEmpty(), "value of key %s omitted", key); @SuppressWarnings("NullAway") char lastChar = Character.toLowerCase(value.charAt(value.length() - 1)); switch(lastChar) { case 'd': return TimeUnit.DAYS; case 'h': return TimeUnit.HOURS; case 'm': return TimeUnit.MINUTES; case 's': return TimeUnit.SECONDS; default: throw new IllegalArgumentException(String.format("key %s invalid format; was %s, must end with one of [dDhHmMsS]", key, value)); } }
get name id|public NameID (final String nameIdFormat, final String nameIdValue) { val nameId = newSamlObject(NameID.class); nameId.setFormat(nameIdFormat); nameId.setValue(nameIdValue); return nameId; }
option|@SuppressWarnings("unchecked") public <T> Http2StreamChannelBootstrap (ChannelOption<T> option, T value) { if (option == null) { throw new NullPointerException("option"); } if (value == null) { synchronized (options) { options.remove(option); } } else { synchronized (options) { options.put(option, value); } } return this; }
get|@Override public LookupExtractor () { final Lock readLock = startStopSync.readLock(); try { readLock.lockInterruptibly(); } catch (InterruptedException e) { throw new RuntimeException(e); } try { if (entry == null) { throw new ISE("Factory [%s] not started", extractorID); } final CacheScheduler.CacheState cacheState = entry.getCacheState(); if (cacheState instanceof CacheScheduler.NoCache) { final String noCacheReason = ((CacheScheduler.NoCache) cacheState).name(); throw new ISE("%s: %s, extractorID = %s", entry, noCacheReason, extractorID); } CacheScheduler.VersionedCache versionedCache = (CacheScheduler.VersionedCache) cacheState; Map<String, String> map = versionedCache.getCache(); final byte[] v = StringUtils.toUtf8(versionedCache.getVersion()); final byte[] id = StringUtils.toUtf8(extractorID); return new MapLookupExtractor(map, isInjective()) { @Override public byte[] getCacheKey() { return ByteBuffer.allocate(CLASS_CACHE_KEY.length + id.length + 1 + v.length + 1 + 1).put(CLASS_CACHE_KEY).put(id).put((byte) 0xFF).put(v).put((byte) 0xFF).put(isOneToOne() ? (byte) 1 : (byte) 0).array(); } }; } finally { readLock.unlock(); } }
is cipher suite available|public static boolean (String cipherSuite) { String converted = CipherSuiteConverter.toOpenSsl(cipherSuite, IS_BORINGSSL); if (converted != null) { cipherSuite = converted; } return AVAILABLE_OPENSSL_CIPHER_SUITES.contains(cipherSuite); }
get output type|@Override public InputType (InputType... inputType) throws InvalidKerasConfigurationException { if (inputType.length > 1) throw new InvalidKerasConfigurationException("Keras LRN layer accepts only one input (received " + inputType.length + ")"); return this.getLocalResponseNormalization().getOutputType(-1, inputType[0]); }
init file system|private void () throws IOException { if (fs == null) { Path path = new Path(basePath); fs = createHadoopFileSystem(path, fsConfig); } }
insert ssl policy|@BetaApi public final Operation (ProjectName project, SslPolicy sslPolicyResource) { InsertSslPolicyHttpRequest request = InsertSslPolicyHttpRequest.newBuilder().setProject(project == null ? null : project.toString()).setSslPolicyResource(sslPolicyResource).build(); return insertSslPolicy(request); }
encode|@Override public void (final OtpOutputStream buf) { final int arity = arity(); buf.write_map_head(arity); for (final Map.Entry<OtpErlangObject, OtpErlangObject> e : entrySet()) { buf.write_any(e.getKey()); buf.write_any(e.getValue()); } }
do stop|@RequirePOST public HttpResponse () { // need write lock as interrupt will change the field lock.writeLock().lock(); try { if (executable != null) { getParentOf(executable).getOwnerTask().checkAbortPermission(); interrupt(); } } finally { lock.writeLock().unlock(); } return HttpResponses.forwardToPreviousPage(); }
close|public synchronized void (final boolean forceClose) throws SQLException { Collection<SQLException> exceptions = new LinkedList<>(); MasterVisitedManager.clear(); exceptions.addAll(closeResultSets()); exceptions.addAll(closeStatements()); if (!stateHandler.isInTransaction() || forceClose) { exceptions.addAll(releaseConnections(forceClose)); } stateHandler.doNotifyIfNecessary(); throwSQLExceptionIfNecessary(exceptions); }
add remedy index|public void (RemedyIndexEventData data) { String path = StagePathUtils.getRemedyRoot(data.getPipelineId()); try { zookeeper.create(path + "/" + RemedyIndexEventData.formatNodeName(data), new byte[] {}, CreateMode.PERSISTENT); } catch (ZkNodeExistsException e) { } catch (ZkException e) { throw new ArbitrateException("addRemedyIndex", data.getPipelineId().toString(), e); } }
get value|@Override public Number () { return System.currentTimeMillis(); }
print|public final void () { System.out.println("========="); print_impl(-99, NO_KEY, _val_1); _chm.print(); System.out.println("========="); }
read utf lines|public static List<String> (File file) throws IORuntimeException { return readLines(file, CharsetUtil.CHARSET_UTF_8); }
trust manager for certificates|private X509TrustManager (InputStream in) throws GeneralSecurityException { CertificateFactory certificateFactory = CertificateFactory.getInstance("X.509"); Collection<? extends Certificate> certificates = certificateFactory.generateCertificates(in); if (certificates.isEmpty()) { throw new IllegalArgumentException("expected non-empty set of trusted certificates"); } // Put the certificates a key store. char[] password = "password".toCharArray(); KeyStore keyStore = newEmptyKeyStore(password); int index = 0; for (Certificate certificate : certificates) { String certificateAlias = Integer.toString(index++); keyStore.setCertificateEntry(certificateAlias, certificate); } KeyManagerFactory keyManagerFactory = KeyManagerFactory.getInstance(KeyManagerFactory.getDefaultAlgorithm()); keyManagerFactory.init(keyStore, password); TrustManagerFactory trustManagerFactory = TrustManagerFactory.getInstance(TrustManagerFactory.getDefaultAlgorithm()); trustManagerFactory.init(keyStore); TrustManager[] trustManagers = trustManagerFactory.getTrustManagers(); if (trustManagers.length != 1 || !(trustManagers[0] instanceof X509TrustManager)) { throw new IllegalStateException("Unexpected default trust managers:" + Arrays.toString(trustManagers)); } return (X509TrustManager) trustManagers[0]; }
rowwise|private ValFrame (Env env, Frame fr, final AstPrimitive fun) { final String[] names = fr._names; final AstFunction scope = env._scope; // do a single row of the frame to determine the size of the output. double[] ds = new double[fr.numCols()]; for (int col = 0; col < fr.numCols(); ++col) ds[col] = fr.vec(col).at(0); int noutputs = fun.apply(env, env.stk(), new AstRoot[] { fun, new AstRow(ds, fr.names()) }).getRow().length; Frame res = new MRTask() { @Override public void map(Chunk chks[], NewChunk[] nc) { double ds[] = new double[chks.length]; // Working row AstRoot[] // Arguments to be called; they are reused endlessly asts = new AstRoot[] { fun, new AstRow(ds, names) }; // Session, again reused endlessly Session ses = new Session(); Env env = new Env(ses); // For proper namespace lookup env._scope = scope; for (int row = 0; row < chks[0]._len; row++) { for (// Fill the row int col = 0; // Fill the row col < chks.length; // Fill the row col++) ds[col] = chks[col].atd(row); try (Env.StackHelp stk_inner = env.stk()) { double[] // Make the call per-row valRow = fun.apply(env, stk_inner, asts).getRow(); for (int newCol = 0; newCol < nc.length; ++newCol) nc[newCol].addNum(valRow[newCol]); } } // Mostly for the sanity checks ses.end(null); } }.doAll(noutputs, Vec.T_NUM, fr).outputFrame(); return new ValFrame(res); }
get cache key|@Override public byte[] () { return ByteBuffer.allocate(CLASS_CACHE_KEY.length + id.length + 1 + v.length + 1 + 1).put(CLASS_CACHE_KEY).put(id).put((byte) 0xFF).put(v).put((byte) 0xFF).put(isOneToOne() ? (byte) 1 : (byte) 0).array(); }
make|public static DecryptionTool (DecryptionSetup ds) { if (ds._decrypt_tool_id == null) ds._decrypt_tool_id = Key.make(); try { Class<?> dtClass = DecryptionTool.class.getClassLoader().loadClass(ds._decrypt_impl); if (!DecryptionTool.class.isAssignableFrom(dtClass)) { throw new IllegalArgumentException("Class " + ds._decrypt_impl + " doesn't implement a Decryption Tool."); } Constructor<?> constructor = dtClass.getConstructor(DecryptionSetup.class); DecryptionTool dt = (DecryptionTool) constructor.newInstance(ds); DKV.put(dt); return dt; } catch (ClassNotFoundException e) { throw new RuntimeException("Unknown decrypt tool: " + ds._decrypt_impl, e); } catch (NoSuchMethodException e) { throw new RuntimeException("Invalid implementation of Decryption Tool (missing constructor).", e); } catch (Exception e) { throw new RuntimeException(e); } }
compute right entropy|public double (PairFrequency pair) { Set<Map.Entry<String, TriaFrequency>> entrySet = trieTria.prefixSearch(pair.getKey() + RIGHT); return computeEntropy(entrySet); }
decorate for|@Nonnull public final Launcher (@Nonnull Node node) { Launcher l = this; for (LauncherDecorator d : LauncherDecorator.all()) l = d.decorate(l, node); return l; }
split multipart header|private static String[] (String sb) { ArrayList<String> headers = new ArrayList<String>(1); int nameStart; int nameEnd; int colonEnd; int valueStart; int valueEnd; nameStart = HttpPostBodyUtil.findNonWhitespace(sb, 0); for (nameEnd = nameStart; nameEnd < sb.length(); nameEnd++) { char ch = sb.charAt(nameEnd); if (ch == ':' || Character.isWhitespace(ch)) { break; } } for (colonEnd = nameEnd; colonEnd < sb.length(); colonEnd++) { if (sb.charAt(colonEnd) == ':') { colonEnd++; break; } } valueStart = HttpPostBodyUtil.findNonWhitespace(sb, colonEnd); valueEnd = HttpPostBodyUtil.findEndOfString(sb); headers.add(sb.substring(nameStart, nameEnd)); String svalue = (valueStart >= valueEnd) ? StringUtil.EMPTY_STRING : sb.substring(valueStart, valueEnd); String[] values; if (svalue.indexOf(';') >= 0) { values = splitMultipartHeaderValues(svalue); } else { values = svalue.split(","); } for (String value : values) { headers.add(value.trim()); } String[] array = new String[headers.size()]; for (int i = 0; i < headers.size(); i++) { array[i] = headers.get(i); } return array; }
add uuid|public void (long lo, long hi) { if (C16Chunk.isNA(lo, hi)) { addNA(); return; } if (_ms == null || _ds == null || _sparseLen >= _ms.len()) append2slowUUID(); _ms.set(_sparseLen, lo); _ds[_sparseLen] = Double.longBitsToDouble(hi); if (_id != null) _id[_sparseLen] = _len; _sparseLen++; _len++; assert _sparseLen <= _len; }
sign|public byte[] (byte[] headerBytes, byte[] payloadBytes) throws SignatureGenerationException { // default implementation; keep around until sign(byte[]) method is removed byte[] contentBytes = new byte[headerBytes.length + 1 + payloadBytes.length]; System.arraycopy(headerBytes, 0, contentBytes, 0, headerBytes.length); contentBytes[headerBytes.length] = (byte) '.'; System.arraycopy(payloadBytes, 0, contentBytes, headerBytes.length + 1, payloadBytes.length); return sign(contentBytes); }
set destination provider|public WebServiceTemplateBuilder (DestinationProvider destinationProvider) { Assert.notNull(destinationProvider, "DestinationProvider must not be null"); return new WebServiceTemplateBuilder(this.detectHttpMessageSender, this.interceptors, this.internalCustomizers, this.customizers, this.messageSenders, this.marshaller, this.unmarshaller, destinationProvider, this.transformerFactoryClass, this.messageFactory); }
set class path|public void (Path classpath) { pathComponents.removeAllElements(); if (classpath != null) { Path actualClasspath = classpath.concatSystemClasspath("ignore"); String[] pathElements = actualClasspath.list(); for (int i = 0; i < pathElements.length; ++i) { try { addPathElement(pathElements[i]); } catch (BuildException e) { } } } }
rename to|protected void (final String newName) throws IOException { // always synchronize from bigger objects first final ItemGroup parent = getParent(); String oldName = this.name; String oldFullName = getFullName(); synchronized (parent) { synchronized (this) { // sanity check if (newName == null) throw new IllegalArgumentException("New name is not given"); // noop? if (this.name.equals(newName)) return; // the lookup is case insensitive, so we should not fail if this item was the “existing” one // to allow people to rename "Foo" to "foo", for example. // see http://www.nabble.com/error-on-renaming-project-tt18061629.html Items.verifyItemDoesNotAlreadyExist(parent, newName, this); File oldRoot = this.getRootDir(); doSetName(newName); File newRoot = this.getRootDir(); boolean success = false; try { // rename data files boolean interrupted = false; boolean renamed = false; // so retry few times before we fall back to copy. for (int retry = 0; retry < 5; retry++) { if (oldRoot.renameTo(newRoot)) { renamed = true; // succeeded break; } try { Thread.sleep(500); } catch (InterruptedException e) { interrupted = true; } } if (interrupted) Thread.currentThread().interrupt(); if (!renamed) { // failed to rename. it must be that some lengthy // process is going on // to prevent a rename operation. So do a copy. Ideally // we'd like to // later delete the old copy, but we can't reliably do // so, as before the VM // shuts down there might be a new job created under the // old name. Copy cp = new Copy(); cp.setProject(new org.apache.tools.ant.Project()); cp.setTodir(newRoot); FileSet src = new FileSet(); src.setDir(oldRoot); cp.addFileset(src); cp.setOverwrite(true); cp.setPreserveLastModified(true); // keep going even if cp.setFailOnError(false); // there's an error cp.execute(); // try to delete as much as possible try { Util.deleteRecursive(oldRoot); } catch (IOException e) { e.printStackTrace(); } } success = true; } finally { // if failed, back out the rename. if (!success) doSetName(oldName); } parent.onRenamed(this, oldName, newName); } } ItemListener.fireLocationChange(this, oldFullName); }
create sql type with nullability|public static RelDataType (final RelDataTypeFactory typeFactory, final SqlTypeName typeName, final boolean nullable) { final RelDataType dataType; switch(typeName) { case TIMESTAMP: // Our timestamps are down to the millisecond (precision = 3). dataType = typeFactory.createSqlType(typeName, 3); break; case CHAR: case VARCHAR: dataType = typeFactory.createTypeWithCharsetAndCollation(typeFactory.createSqlType(typeName), Calcites.defaultCharset(), SqlCollation.IMPLICIT); break; default: dataType = typeFactory.createSqlType(typeName); } return typeFactory.createTypeWithNullability(dataType, nullable); }
verify|@Override protected void (FullHttpResponse response) { final HttpResponseStatus status = HttpResponseStatus.SWITCHING_PROTOCOLS; final HttpHeaders headers = response.headers(); if (!response.status().equals(status)) { throw new WebSocketHandshakeException("Invalid handshake response getStatus: " + response.status()); } CharSequence upgrade = headers.get(HttpHeaderNames.UPGRADE); if (!HttpHeaderValues.WEBSOCKET.contentEqualsIgnoreCase(upgrade)) { throw new WebSocketHandshakeException("Invalid handshake response upgrade: " + upgrade); } if (!headers.containsValue(HttpHeaderNames.CONNECTION, HttpHeaderValues.UPGRADE, true)) { throw new WebSocketHandshakeException("Invalid handshake response connection: " + headers.get(HttpHeaderNames.CONNECTION)); } CharSequence accept = headers.get(HttpHeaderNames.SEC_WEBSOCKET_ACCEPT); if (accept == null || !accept.equals(expectedChallengeResponseString)) { throw new WebSocketHandshakeException(String.format("Invalid challenge. Actual: %s. Expected: %s", accept, expectedChallengeResponseString)); } }
initial capacity|void (String key, @Nullable String value) { requireArgument(initialCapacity == UNSET_INT, "initial capacity was already set to %,d", initialCapacity); initialCapacity = parseInt(key, value); }
add commands|public void (Iterable<Command> commands) { Assert.notNull(commands, "Commands must not be null"); for (Command command : commands) { addCommand(command); } }
to array|@Override @SuppressWarnings({ "unchecked" }) public <T> T[] (final T[] destination) { requireNonNull(destination, ILLEGAL_DESTINATION_ARRAY); Supplier<T[]> copyRingBuffer = () -> { if (size == 0) { return destination; } T[] result = destination; if (destination.length < size) { result = (T[]) newInstance(result.getClass().getComponentType(), size); } if (headIndex <= tailIndex) { System.arraycopy(ringBuffer, headIndex, result, 0, size); } else { int toTheEnd = ringBuffer.length - headIndex; System.arraycopy(ringBuffer, headIndex, result, 0, toTheEnd); System.arraycopy(ringBuffer, 0, result, toTheEnd, tailIndex + 1); } return result; }; return readConcurrentlyWithoutSpin(copyRingBuffer); }
perform recovery|public int () throws Exception { long traceId = LoggerHelpers.traceEnterWithContext(log, this.traceObjectId, "performRecovery"); Timer timer = new Timer(); log.info("{} Recovery started.", this.traceObjectId); // Put metadata (and entire container) into 'Recovery Mode'. this.metadata.enterRecoveryMode(); // Reset metadata. this.metadata.reset(); OperationMetadataUpdater metadataUpdater = new OperationMetadataUpdater(this.metadata); this.stateUpdater.enterRecoveryMode(metadataUpdater); boolean successfulRecovery = false; int recoveredItemCount; try { recoveredItemCount = recoverAllOperations(metadataUpdater); this.metadata.setContainerEpoch(this.durableDataLog.getEpoch()); log.info("{} Recovery completed. Epoch = {}, Items Recovered = {}, Time = {}ms.", this.traceObjectId, this.metadata.getContainerEpoch(), recoveredItemCount, timer.getElapsedMillis()); successfulRecovery = true; } finally { // We must exit recovery mode when done, regardless of outcome. this.metadata.exitRecoveryMode(); this.stateUpdater.exitRecoveryMode(successfulRecovery); } LoggerHelpers.traceLeave(log, this.traceObjectId, "performRecovery", traceId); return recoveredItemCount; }
delete invalid multi data sets|public static ValidationResult (JavaSparkContext sc, String path, List<int[]> featuresShape, List<int[]> labelsShape) { return validateMultiDataSets(sc, path, true, true, (featuresShape == null ? -1 : featuresShape.size()), (labelsShape == null ? -1 : labelsShape.size()), featuresShape, labelsShape); }
register client from properties|public static synchronized IClient<?, ?> (String restClientName, IClientConfig clientConfig) throws ClientException { IClient<?, ?> client = null; ILoadBalancer loadBalancer = null; if (simpleClientMap.get(restClientName) != null) { throw new ClientException(ClientException.ErrorType.GENERAL, "A Rest Client with this name is already registered. Please use a different name"); } try { String clientClassName = clientConfig.getOrDefault(CommonClientConfigKey.ClientClassName); client = (IClient<?, ?>) instantiateInstanceWithClientConfig(clientClassName, clientConfig); boolean initializeNFLoadBalancer = clientConfig.getOrDefault(CommonClientConfigKey.InitializeNFLoadBalancer); if (initializeNFLoadBalancer) { loadBalancer = registerNamedLoadBalancerFromclientConfig(restClientName, clientConfig); } if (client instanceof AbstractLoadBalancerAwareClient) { ((AbstractLoadBalancerAwareClient) client).setLoadBalancer(loadBalancer); } } catch (Throwable e) { String message = "Unable to InitializeAndAssociateNFLoadBalancer set for RestClient:" + restClientName; logger.warn(message, e); throw new ClientException(ClientException.ErrorType.CONFIGURATION, message, e); } simpleClientMap.put(restClientName, client); Monitors.registerObject("Client_" + restClientName, client); logger.info("Client Registered:" + client.toString()); return client; }
call|@Override public HystrixEventType.Collapser () { return HystrixEventType.Collapser.ADDED_TO_BATCH; }
map|@Override public void (Chunk chks[], NewChunk[] nc) { double ds[] = new double[chks.length]; // Working row AstRoot[] // Arguments to be called; they are reused endlessly asts = new AstRoot[] { fun, new AstRow(ds, names) }; // Session, again reused endlessly Session ses = new Session(); Env env = new Env(ses); // For proper namespace lookup env._scope = scope; for (int row = 0; row < chks[0]._len; row++) { for (// Fill the row int col = 0; // Fill the row col < chks.length; // Fill the row col++) ds[col] = chks[col].atd(row); try (Env.StackHelp stk_inner = env.stk()) { double[] // Make the call per-row valRow = fun.apply(env, stk_inner, asts).getRow(); for (int newCol = 0; newCol < nc.length; ++newCol) nc[newCol].addNum(valRow[newCol]); } } // Mostly for the sanity checks ses.end(null); }
peek|public int () throws OtpErlangDecodeException { int i; try { i = super.buf[super.pos]; if (i < 0) { i += 256; } return i; } catch (final Exception e) { throw new OtpErlangDecodeException("Cannot read from input stream"); } }
no null else get|public static <T> T (@NonNull Supplier<T> s1, @NonNull Supplier<T> s2) { T t1 = s1.get(); if (t1 != null) { return t1; } return s2.get(); }
initialize|public void (IGraph<V, E> graph) { int nVertices = graph.numVertices(); int[] degrees = new int[nVertices]; for (int i = 0; i < nVertices; i++) degrees[i] = graph.getVertexDegree(i); initialize(degrees); }
get timeout|private static int (final Ticket ticket) { val ttl = ticket.getExpirationPolicy().getTimeToLive().intValue(); if (ttl == 0) { return 1; } return ttl; }
un publish port|public void () { // unregister with epmd OtpEpmd.unPublishPort(this); // close the local descriptor (if we have one) try { if (super.epmd != null) { super.epmd.close(); } } catch (final IOException e) { } super.epmd = null; }
get closest fixed bits|public static int (int width) { if (width == 0) { return 1; } if (width >= 1 && width <= 24) { return width; } else if (width > 24 && width <= 26) { return 26; } else if (width > 26 && width <= 28) { return 28; } else if (width > 28 && width <= 30) { return 30; } else if (width > 30 && width <= 32) { return 32; } else if (width > 32 && width <= 40) { return 40; } else if (width > 40 && width <= 48) { return 48; } else if (width > 48 && width <= 56) { return 56; } else { return 64; } }
get boolean|public static boolean (String key, boolean def) { String value = get(key); if (value == null) { return def; } value = value.trim().toLowerCase(); if (value.isEmpty()) { return def; } if ("true".equals(value) || "yes".equals(value) || "1".equals(value)) { return true; } if ("false".equals(value) || "no".equals(value) || "0".equals(value)) { return false; } logger.warn("Unable to parse the boolean system property '{}':{} - using the default value: {}", key, value, def); return def; }
common prefix search|public static LinkedList<Map.Entry<String, CoreDictionary.Attribute>> (char[] chars, int begin) { return trie.commonPrefixSearchWithValue(chars, begin); }
create document db template|public DocumentDbTemplate (final DocumentDbFactory documentDbFactory, final BaseCosmosDbProperties properties) { val documentDbMappingContext = createDocumentDbMappingContext(); val mappingDocumentDbConverter = createMappingDocumentDbConverter(documentDbMappingContext); return new DocumentDbTemplate(documentDbFactory, mappingDocumentDbConverter, properties.getDatabase()); }
add|public static INDArray (INDArray x, INDArray y, INDArray z, int... dimensions) { if (dimensions == null || dimensions.length == 0) { validateShapesNoDimCase(x, y, z); return Nd4j.getExecutioner().exec(new OldAddOp(x, y, z)); } return Nd4j.getExecutioner().exec(new BroadcastAddOp(x, y, z, dimensions)); }
update|void (@NonNull List<PageEntry> entries) { if (entries.isEmpty()) { // Nothing to do. return; } // Apply the in-place updates and collect the new entries to be added. val ci = applyUpdates(entries); if (ci.changes.isEmpty()) { // Nothing else to change. We've already updated the keys in-place. return; } val newPage = applyInsertsAndRemovals(ci); // Make sure we swap all the segments with those from the new page. We need to release all pointers to our // existing buffers. this.header = newPage.header; this.data = newPage.data; this.contents = newPage.contents; this.footer = newPage.footer; this.count = newPage.count; }
monitor detailed|@Nonnull protected final Result<T> () throws InterruptedException { Map<Computer, Future<T>> futures = new HashMap<>(); Set<Computer> skipped = new HashSet<>(); for (Computer c : Jenkins.getInstance().getComputers()) { try { VirtualChannel ch = c.getChannel(); // sentinel value futures.put(c, null); if (ch != null) { Callable<T, ?> cc = createCallable(c); if (cc != null) futures.put(c, ch.callAsync(cc)); } } catch (RuntimeException | IOException e) { LOGGER.log(WARNING, "Failed to monitor " + c.getDisplayName() + " for " + getDisplayName(), e); } } final long now = System.currentTimeMillis(); final long end = now + getMonitoringTimeOut(); final Map<Computer, T> data = new HashMap<>(); for (Entry<Computer, Future<T>> e : futures.entrySet()) { Computer c = e.getKey(); Future<T> f = futures.get(c); // sentinel value data.put(c, null); if (f != null) { try { data.put(c, f.get(Math.max(0, end - System.currentTimeMillis()), MILLISECONDS)); } catch (RuntimeException | TimeoutException | ExecutionException x) { LOGGER.log(WARNING, "Failed to monitor " + c.getDisplayName() + " for " + getDisplayName(), x); } } else { skipped.add(c); } } return new Result<>(data, skipped); }
get qualified name|public static QualifiedName (DereferenceExpression expression) { List<String> parts = tryParseParts(expression.base, expression.field.getValue().toLowerCase(Locale.ENGLISH)); return parts == null ? null : QualifiedName.of(parts); }
get failure in range cut off date|protected Date () { val cutoff = ZonedDateTime.now(ZoneOffset.UTC).minusSeconds(configurationContext.getFailureRangeInSeconds()); return DateTimeUtils.timestampOf(cutoff); }
server rejected|static FirestoreException (Status status, String message, Object... params) { return new FirestoreException(String.format(message, params), status); }
get json array|public JSONArray (K key) { final Object object = this.getObj(key); if (null == object) { return null; } if (object instanceof JSONArray) { return (JSONArray) object; } return new JSONArray(object); }
check display name|// expose utility check method to subclasses @SuppressWarnings("unused") protected FormValidation (@Nonnull View view, @CheckForNull String value) { if (StringUtils.isBlank(value)) { // no custom name, no need to check return FormValidation.ok(); } for (View v : view.owner.getViews()) { if (v.getViewName().equals(view.getViewName())) { continue; } if (StringUtils.equals(v.getDisplayName(), value)) { return FormValidation.warning(Messages.View_DisplayNameNotUniqueWarning(value)); } } return FormValidation.ok(); }
create application|public final Application (String parent, Application application) { CreateApplicationRequest request = CreateApplicationRequest.newBuilder().setParent(parent).setApplication(application).build(); return createApplication(request); }
get sheet name|public String () { if (this.boundSheetRecords.size() > this.sheetIndex) { return this.boundSheetRecords.get(this.sheetIndex > -1 ? this.sheetIndex : this.curSheetIndex).getSheetname(); } return null; }
decrypt value|public String (final String value) { try { return decryptValuePropagateExceptions(value); } catch (final Exception e) { LOGGER.error("Could not decrypt value [{}]", value, e); } return null; }
